,len,url_count,evil_char,evil_word,shang
45296,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45297,-0.19393003572612583,0,0.0,0.0,1.6491198125200737
45298,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45299,-0.1736932799840528,0,0.0,0.0,-0.5702624761299353
45300,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45301,-0.8212694637303899,0,0.0,0.0,-0.7757114254561455
45302,0.02867427743667755,1,0.7777777777777777,0.0,0.33788341630049196
45303,-0.9629267539249011,0,0.0,0.0,-1.0583346731687113
45304,-0.8212694637303899,0,0.0,0.0,-0.8365519104416769
45305,-0.902216486698682,0,0.0,0.0,-1.3349278249212506
45306,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45307,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45308,-0.7605591965041708,0,0.0,0.0,-0.9381153361763126
45309,-0.902216486698682,0,0.0,0.0,-1.3349278249212506
45310,-0.43677110463100227,0,0.0,0.0,-0.0023743444248030634
45311,-0.8212694637303899,0,0.0,0.0,-0.9369022911445146
45312,-0.1736932799840528,0,0.0,0.0,-0.5702624761299353
45313,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45314,-0.8212694637303899,0,0.0,0.0,-0.9977427761300446
45316,-0.8212694637303899,0,0.0,0.0,-0.8973923954272062
45317,-0.8212694637303899,0,0.0,0.0,-0.614520559767777
45318,0.43340939227813824,1,0.7777777777777777,0.0,0.9069964801434817
45319,-0.9629267539249011,0,0.0,0.0,-1.0583346731687107
45320,-0.6796121735358787,0,0.0,0.0,0.008453270671944945
45321,0.3119888578257,1,0.7777777777777777,0.0,0.8721529934628361
45322,-0.9224532424407551,0,0.0,0.0,-0.9074110778471746
45323,-0.8212694637303899,0,0.0,0.0,-1.1194237461011038
45324,-0.1736932799840528,0,0.0,0.0,-0.5715595660058268
45325,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45326,-0.8212694637303899,0,0.0,0.0,-0.8365519104416769
45327,-0.295113814436491,0,0.0,0.0,0.7875069060948562
45328,-0.902216486698682,0,0.0,0.0,-0.7304620785898669
45329,1.930929317191543,0,0.2222222222222222,0.0,1.4095835399674344
45330,-0.7605591965041708,1,0.2222222222222222,0.0,-0.8578530058170558
45331,0.04891103317875058,0,0.0,0.0,-0.2094474480063781
45332,-0.8010327079883168,0,0.0,0.0,-0.8855974736690307
45333,-0.6391386620517326,0,0.0,0.0,-0.6742101694114573
45334,2.2547174090647113,1,0.4444444444444444,0.0,1.4127067725302462
45335,-0.6391386620517326,0,0.0,0.0,-0.6742101694114573
45336,-1.0438737768931934,0,0.0,0.0,-2.0236919141587295
45337,-0.861742975214536,0,0.0,0.0,-0.4117832572750398
45338,-0.8212694637303899,0,0.0,0.0,-0.6753610447533077
45339,-0.8212694637303899,0,0.0,0.0,-0.8973923954272054
45340,0.291752102083627,1,0.7777777777777777,0.0,0.8836259182728518
45341,-0.841506219472463,0,0.0,0.0,-0.8402640022510275
45342,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45343,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45344,-0.7605591965041708,0,0.0,0.0,-0.8508541355651482
45345,-0.9224532424407551,0,0.0,0.0,-1.3372533863494904
45346,-0.43677110463100227,0,0.0,0.0,-0.5175400803108671
45347,-0.5379548833413674,0,0.0,0.0,-0.6546344050386143
45348,-0.9831635096669742,0,0.0,0.0,-1.2651388952018192
45349,-0.9224532424407551,0,0.0,0.0,-1.2034528787457068
45350,-0.7200856850200247,0,0.0,0.0,-0.7316305983868968
45351,-0.9831635096669742,0,0.0,0.0,-1.2651388952018192
45352,-0.841506219472463,0,0.0,0.0,-0.7762213864767834
45353,-0.9629267539249011,0,0.0,0.0,-1.0583346731687107
45354,-0.9224532424407551,0,0.0,0.0,-1.122332232098334
45355,-0.8212694637303899,0,0.0,0.0,-0.6753610447533077
45356,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45357,-0.902216486698682,0,0.0,0.0,-1.1334392428107893
45358,-0.05227274553161459,1,0.4444444444444444,0.0,0.6307304503807488
45359,0.2310418348574079,1,0.4444444444444444,0.0,0.8297146682611464
45360,-0.9426899981828281,0,0.0,0.0,-1.4157441575683782
45361,-1.0438737768931934,0,0.0,0.0,-1.6654899904067981
45362,-0.7200856850200247,0,0.0,0.0,-0.7803029863753209
45363,-0.881979730956609,0,0.0,0.0,-1.0166250948595315
45364,-1.0236370211511203,0,0.0,0.0,-2.0652383509630976
45365,0.291752102083627,1,0.7777777777777777,0.0,1.0577091618843637
45366,-0.8212694637303899,0,0.0,0.0,-0.6753610447533077
45367,-0.8212694637303899,0,0.0,0.0,-0.9369022911445146
45368,0.3119888578257,1,0.7777777777777777,0.0,0.8721529934628361
45369,-1.0034002654090473,0,0.0,0.0,-1.4919060691766672
45370,-0.1736932799840528,0,0.0,0.0,-0.5702624761299353
45371,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45372,-0.8212694637303899,0,0.0,0.0,-0.7362015297388355
45373,-0.8212694637303899,0,0.0,0.0,-0.8365519104416769
45374,-0.881979730956609,0,0.0,0.0,-1.0166250948595315
45375,-0.43677110463100227,0,0.0,0.0,-0.544612790154884
45376,-0.8010327079883168,0,0.0,0.0,-0.0021352847043611405
45377,-0.9426899981828281,0,0.0,0.0,-1.3288291790176194
45378,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45379,-0.861742975214536,0,0.0,0.0,-1.6981336460267025
45380,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45381,-0.881979730956609,0,0.0,0.0,-1.3958977200086353
45382,-0.8212694637303899,0,0.0,0.0,-0.8973923954272054
45383,-0.8212694637303899,0,0.0,0.0,-0.6753610447533063
45384,1.930929317191543,0,0.2222222222222222,0.0,1.4095835399674344
45385,-0.7605591965041708,1,0.2222222222222222,0.0,-0.8578530058170558
45386,0.04891103317875058,0,0.0,0.0,-0.2094474480063781
45387,-0.8010327079883168,0,0.0,0.0,-0.8855974736690307
45388,-0.6391386620517326,0,0.0,0.0,-0.6742101694114573
45389,2.2547174090647113,1,0.4444444444444444,0.0,1.4127067725302462
45390,-0.6391386620517326,0,0.0,0.0,-0.6742101694114573
45391,-1.0438737768931934,0,0.0,0.0,-2.0236919141587295
